code,location,registered,envelopes,valid,ANO 2011,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,Strana Práv Občanů,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Unie H.A.V.E.L.,Česká strana národně sociální
529303,Benešov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532568,Bernartice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530743,Bílkovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532380,Blažejovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532096,Borovnice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532924,Bukovany,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529451,Bystřice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532690,Ctiboř,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529478,Čakov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529486,Čechtice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529516,Čerčany,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529532,Červený Újezd,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529541,Český Šternberk,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529567,Čtyřkoly,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532746,Děkanovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529621,Divišov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529648,Dolní Kralovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532151,Drahňovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532843,Dunice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529702,Heřmaničky,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532932,Hradiště,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529737,Hulice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529745,Hvězdonice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532886,Chářovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532878,Chleby,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532045,Chlístov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529770,Chlum,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529788,Chmelná,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529796,Chocerady,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532606,Choratice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529818,Chotýšany,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532037,Chrášťany,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529842,Jankov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529851,Javorník,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532134,Ješetice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
531031,Kamberk,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529907,Keblov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
533084,Kladruby,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529931,Kondrac,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529940,Kozmice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529958,Krhanice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529974,Krňany,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
529991,Křečovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530000,Křivsoudov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530026,Kuňovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530051,Lešany,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530069,Libež,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532258,Litichovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530093,Loket,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530107,Louňovice pod Blaníkem,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532193,Lštění,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530115,Maršovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530158,Mezno,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530166,Miličín,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530174,Miřetice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530191,Mnichovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530204,Mrač,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530212,Načeradec,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530263,Nespeky,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530298,Netvořice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530301,Neustupov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530310,Neveklov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530344,Olbramovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
599395,Ostrov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530352,Ostředek,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
533076,Pavlovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530409,Petroupim,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532649,Popovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530441,Poříčí nad Sázavou,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530450,Postupice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530476,Pravonín,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530492,Přestavlky u Čerčan,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530514,Psáře,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
538680,Pyšely,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530522,Rabyně,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530531,Radošovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530549,Rataje,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532550,Ratměřice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
538710,Řehenice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532941,Řimovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
534382,Sázava,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532231,Slověnice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530611,Smilkov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532436,Snět,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530638,Soběhrdy,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
599387,Soutice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
599379,Stranný,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
599361,Strojetice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530689,Struhařov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530701,Střezimíř,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530719,Studený,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532509,Šetějovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530751,Tehov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530760,Teplýšovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530778,Tichonice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532592,Tisem,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532541,Tomice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530816,Trhový Štěpánov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532304,Třebešice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530841,Týnec nad Sázavou,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532061,Václavice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530867,Veliš,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530883,Vlašim,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532614,Vodslivy,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530891,Vojkov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530905,Votice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530913,Vracovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530921,Vranov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
530948,Vrchotovy Janovice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
532266,Všechlapy,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
513482,Vysoký Újezd,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
571415,Xaverov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
531022,Zdislavice,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
531049,Zvěstov,13104,8485,8437,2577,3,16,314,58,6,17,21,10,682,414,3,5
